Rank,Name,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,%Transit,Population
84,"Oklahoma City, OK",2.6,0.3,"32,677",373,2,8 mi2,0.50%,"684,653"
74,"Omaha, NE",3.7,0.6,"58,053",784,3,17 mi2,1.40%,"489,200"
47,"Orlando, FL",5.3,0.9,"166,949","1,456",6,41 mi2,2.50%,"303,158"
7,"Philadelphia, PA",9.1,4.6,"367,544","5,229",12,54 mi2,23.00%,"1,593,208"
38,"Phoenix, AZ",5.9,0.7,"166,824","1,472",4,43 mi2,2.60%,"1,596,596"
13,"Pittsburgh, PA",8.1,3.9,"260,426","4,552",18,56 mi2,16.20%,"303,843"
81,"Plano, TX",3.2,0.2,"48,020",453,2,8 mi2,1.00%,"283,496"
14,"Portland, OR",8.1,2.6,"218,492","3,517",10,44 mi2,10.90%,"641,885"
56,"Raleigh, NC",4.4,0.7,"66,536","1,264",5,14 mi2,2.00%,"417,525"
63,"Reno, NV",4.1,0.6,"56,299",983,3,14 mi2,2.90%,"256,524"
29,"Riverside, CA",7.1,0.7,"73,064","3,417",4,24 mi2,2.00%,"316,938"
36,"Sacramento, CA",6,1.7,"131,535","1,135",9,26 mi2,2.70%,"516,615"
53,"San Antonio, TX",4.7,0.8,"110,455","1,168",4,31 mi2,2.40%,"1,464,756"
35,"San Diego, CA",6.1,1.2,"109,389","1,941",5,20 mi2,3.70%,"1,384,593"
2,"San Francisco, CA",9.3,7.4,"596,446","9,616",20,35 mi2,31.20%,"851,036"
31,"San Jose, CA",7,1.5,"150,209","2,424",6,33 mi2,3.70%,"982,926"
25,"Santa Ana, CA",7.3,1.2,"366,181","1,964",6,59 mi2,3.50%,"310,097"
10,"Seattle, WA",8.3,4.9,"403,896","4,783",19,38 mi2,21.40%,"734,731"
30,"St. Louis, MO",7,1.5,"163,458","1,809",6,40 mi2,7.10%,"298,018"
21,"St. Paul, MN",7.5,1.4,"214,873","2,269",6,38 mi2,8.80%,"308,806"
42,"St. Petersburg, FL",5.7,1.1,"80,103","1,523",6,34 mi2,2.10%,"261,688"
54,"Stockton, CA",4.6,1.3,"40,460",722,7,17 mi2,1.40%,"312,413"
49,"Tampa, FL",5,0.7,"146,486",991,4,29 mi2,1.90%,"383,344"
59,"Toledo, OH",4.2,0.7,"40,135",548,5,18 mi2,1.70%,"266,053"
43,"Tucson, AZ",5.6,0.9,"80,693","1,324",5,32 mi2,2.70%,"537,263"
76,"Tulsa, OK",3.5,0.4,"50,115",432,3,19 mi2,0.70%,"409,043"
17,"Urban Honolulu, HI",7.8,5.5,"215,648","4,720",18,29 mi2,9.30%,"348,563"
80,"Virginia Beach, VA",3.2,0.3,"22,910",393,2,10 mi2,1.00%,"457,900"
5,"Washington, DC",9.1,5.3,"545,507","7,528",20,47 mi2,32.90%,"670,587"
79,"Wichita, KS",3.2,0.4,"43,470",241,3,16 mi2,0.80%,"370,070"
